State,CurveFit,ExpSmooth,Forest
Cross River,1.103529894,0.421601996,0.608670057
Fct,3.305871311,1.15035186,0.613032679
Ogun,1.812663818,1.336037885,1.215321304
Oyo,1.773088303,0.932520359,0.963655512
Sokoto,5.32647235,5.307624148,3.271639102
Zamfara,5.332577977,2.055441378,2.555011746
Lagos,1.774382976,1.613382052,1.027643144
Akwa Ibom,1.016120005,0.322286795,0.704570402
Bayelsa,1.186266309,1.19934666,1.037653173
Ondo,1.605658372,1.02581482,0.826786927
Delta,1.181137224,0.440195825,0.621315313
Rivers,1.504549017,1.410219941,1.026262055
Kwara,2.212097277,1.387494654,1.356318735
Kogi,1.733715634,0.937122723,0.89922617
Benue,2.398463211,0.793045538,0.759946393
Borno,5.436552096,5.362855852,2.772863979
Katsina,4.448174831,4.673627479,2.190313808
Plateau,3.606886774,2.19493608,0.910919177
Edo,1.370134169,0.566686585,0.502569819
Jigawa,3.853825733,4.628862433,2.052728166
Anambra,1.783313871,0.548820279,0.807837907
Kano,4.804777452,4.655972641,2.438205039
Nasarawa,3.054685647,1.776760436,0.720430721
Kebbi,4.54516126,1.949062008,2.181458569
Imo,1.760972975,1.010124404,1.109791854
Gombe,3.632001283,2.244386976,1.453870944
Adamawa,3.701684408,1.561380835,1.122732176
Yobe,3.976517368,4.543120478,2.717252645
Abia,1.458181728,0.624382133,0.770828512
Ekiti,1.359499469,0.796630081,0.963192801
Osun,1.546757099,0.85154277,0.485959589
Bauchi,4.063773077,1.782642337,1.668282777
Niger,3.95121506,1.236500214,1.184713412
Kaduna,3.796078302,1.232109273,1.487411986
Enugu,1.540079641,1.078351368,0.67552504
Taraba,3.604979937,1.237118195,1.296035608
Ebonyi,1.907917707,0.58503622,0.675584487
